ID,City,Weekday,Severity,Highway,Daylight
399,SANTA CLARA,4,0,0,1
400,SANTA CLARA,4,0,0,1
401,SANTA CLARA,2,0,0,0
513,SANTA CLARA,5,0,0,0
692,SANTA CLARA,5,0,0,1
710,SANTA CLARA,1,0,0,1
948,SANTA CLARA,2,0,0,1
1467,SANTA CLARA,7,0,0,1
1759,SANTA CLARA,7,0,0,0
1763,SANTA CLARA,6,0,0,0
1842,SANTA CLARA,2,1,0,1
1843,SANTA CLARA,2,0,0,1
2137,SANTA CLARA,6,0,0,1
2138,SANTA CLARA,1,0,0,1
2495,SANTA CLARA,7,0,0,1
2506,SANTA CLARA,2,0,0,0
2508,SANTA CLARA,4,0,0,1
3107,SANTA CLARA,3,0,0,1
3387,SANTA CLARA,4,0,0,0
3654,SANTA CLARA,2,0,0,1
3735,SANTA CLARA,4,0,0,1
3927,SANTA CLARA,3,0,0,1
4673,SANTA CLARA,5,0,0,0
4710,SANTA CLARA,2,0,0,0
4775,SANTA CLARA,4,0,0,1
5206,SANTA CLARA,7,0,0,0
5287,SANTA CLARA,2,0,0,0
5288,SANTA CLARA,5,0,0,0
5490,SANTA CLARA,1,0,0,0
5524,SANTA CLARA,1,0,0,1
5591,SANTA CLARA,1,0,0,0
6621,SANTA CLARA,6,0,0,0
6729,SANTA CLARA,5,0,1,0
7037,SANTA CLARA,5,0,0,1
7038,SANTA CLARA,1,0,0,1
7043,SANTA CLARA,5,0,0,1
7057,SANTA CLARA,2,0,0,1
7385,SANTA CLARA,5,0,0,1
8401,SANTA CLARA,4,0,0,1
8466,SANTA CLARA,3,0,1,0
8967,SANTA CLARA,3,0,0,1
9468,SANTA CLARA,1,0,0,1
9469,SANTA CLARA,3,0,0,1
9470,SANTA CLARA,1,0,0,1
9471,SANTA CLARA,5,0,1,1
9621,SANTA CLARA,2,0,0,1
10642,SANTA CLARA,3,0,1,1
10644,SANTA CLARA,5,0,0,1
10769,SANTA CLARA,2,0,1,1
12154,SANTA CLARA,3,0,1,1
12176,SANTA CLARA,6,0,1,1
12660,SANTA CLARA,7,0,0,1
12661,SANTA CLARA,3,0,0,1
12674,SANTA CLARA,3,0,0,1
13063,SANTA CLARA,4,0,0,1
13161,SANTA CLARA,1,0,0,1
13539,SANTA CLARA,7,0,0,0
13596,SANTA CLARA,5,0,0,1
14289,SANTA CLARA,7,1,1,0
14313,SANTA CLARA,6,0,0,0
15186,SANTA CLARA,1,0,0,1
15219,SANTA CLARA,1,0,1,1
17414,SANTA CLARA,4,1,1,0
17744,SANTA CLARA,5,0,1,1
17838,SANTA CLARA,6,0,0,1
